label_source,feature,variant,k,space,monkey,scope_computed_on,row_kind,session,trial_id,maze,strategy,strategy_tag,cell_name,half,split,n_trials_in_row,row_sum,n_nonzero,dim,dim_label,value
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,2.0,2,0,0,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,2.0,2,1,2,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,2.0,2,2,3,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,2.0,2,3,4,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_8_g0,320,1,0,H,1H,,,1,2.0,2,4,5,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,2.0,2,0,0,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,2.0,2,1,2,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,2.0,2,2,3,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,2.0,2,3,4,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,34,1,0,H,1H,,,1,2.0,2,4,5,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,1.0,1,0,0,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,1.0,1,1,2,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,1.0,1,2,3,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,1.0,1,3,4,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,558,1,0,H,1H,,,1,1.0,1,4,5,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,2.0,2,0,0,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,2.0,2,1,2,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,2.0,2,2,3,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,2.0,2,3,4,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_10_g0,193,1,1,S,1S,,,1,2.0,2,4,5,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,3.0,3,0,0,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,3.0,3,1,2,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,3.0,3,2,3,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,3.0,3,3,4,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_22_g0,268,1,1,S,1S,,,1,3.0,3,4,5,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,2.0,2,0,0,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,2.0,2,1,2,0.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,2.0,2,2,3,1.0
svm,occupancy_bin,no_origin,6,unith,Faure,top_ten,trial,june_29_g0,525,1,1,S,1S,,,1,2.0,2,3,4,0.0
